engine,instruction,src,dst,process_bytes_each,xn_value,event_count,unique_pids,total_bytes,avg_duration_us,max_duration_us
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11759900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117a9900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11351800,2,1,32768,0.552,0.563
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113a1800,2,1,32768,0.551,0.558
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113f1800,2,1,32768,0.555,0.603
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11441800,2,1,32768,0.5495,0.558
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11491800,2,1,32768,0.55,0.558
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x114e1800,2,1,32768,0.5385,0.589
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11531800,2,1,32768,0.551,0.558
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11581800,2,1,32768,0.534,0.581
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x115d1800,2,1,32768,0.5545,0.555
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11621800,2,1,32768,0.5525,0.559
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11671800,2,1,32768,0.634,0.708
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x116c1800,2,1,32768,0.5215,0.55
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11711800,2,1,32768,0.5515,0.553
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11761800,2,1,32768,0.622,0.698
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x117b1800,2,1,32768,0.5195,0.551
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11351900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113a1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x113f1900,2,1,32768,0.236,0.236
AIC,MOV_OUT_TO_L1_MULTI_ND2NZ,OUT,L1,16384,0x11441900,2,1,32768,0.236,0.236
