engine,instruction,src,dst,process_bytes_each,xn_value,event_count,unique_pids,total_bytes,avg_duration_us,max_duration_us
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c53a00,1,1,16384,0.299,0.299
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13cf3a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d93a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e33a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c57a00,1,1,16384,0.297,0.297
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13cf7a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d97a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e37a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c5ba00,1,1,16384,0.284,0.284
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13cfba00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d9ba00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e3ba00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c5fa00,1,1,16384,0.296,0.296
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13cffa00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d9fa00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e3fa00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c63a00,1,1,16384,0.298,0.298
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d03a00,1,1,16384,0.251,0.251
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13da3a00,1,1,16384,0.297,0.297
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e43a00,1,1,16384,0.297,0.297
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c67a00,1,1,16384,0.293,0.293
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d07a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13da7a00,1,1,16384,0.299,0.299
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e47a00,1,1,16384,0.299,0.299
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c6ba00,1,1,16384,0.296,0.296
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d0ba00,1,1,16384,0.253,0.253
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13daba00,1,1,16384,0.292,0.292
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e4ba00,1,1,16384,0.271,0.271
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c6fa00,1,1,16384,0.286,0.286
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d0fa00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13dafa00,1,1,16384,0.268,0.268
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e4fa00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c73a00,1,1,16384,0.286,0.286
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d13a00,1,1,16384,0.282,0.282
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13db3a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c77a00,1,1,16384,0.297,0.297
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d17a00,1,1,16384,0.296,0.296
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13db7a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e57a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c7ba00,1,1,16384,0.294,0.294
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d1ba00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13dbba00,1,1,16384,0.295,0.295
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e5ba00,1,1,16384,0.253,0.253
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c7fa00,1,1,16384,0.279,0.279
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d1fa00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13dbfa00,1,1,16384,0.298,0.298
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e5fa00,1,1,16384,0.288,0.288
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c83a00,1,1,16384,0.295,0.295
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d23a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13dc3a00,1,1,16384,0.298,0.298
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e63a00,1,1,16384,0.297,0.297
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c87a00,1,1,16384,0.299,0.299
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d27a00,1,1,16384,0.228,0.228
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13dc7a00,1,1,16384,0.291,0.291
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13e67a00,1,1,16384,0.299,0.299
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13c8ba00,1,1,16384,0.284,0.284
AIV,MOV_OUT_TO_UB,OUT,UB,16384,0x13d2ba00,1,1,16384,0.228,0.228
